CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:42.6,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.8,1.6,-121.9,EngineStart,41,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:42.7,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.8,1.7,-121.8,EngineStart,41,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.1,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:42.8,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.9,EngineStart,41,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.2,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:42.9,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.8,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.3,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2019 16:06,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.9,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.4,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.1,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.8,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.5,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.2,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.8,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.6,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.3,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.9,1.7,-121.8,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.7,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.4,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.7,1.6,-121.9,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.8,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.5,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.6,1.7,-121.9,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,1.9,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.6,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.5,1.6,-121.7,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,2,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.6,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,2.4,1.4,-121.6,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,2.1,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.7,,,0,0,,0,0,0,0,0,0,,,0,27.8,0,0,0,1.8,0.1,-121.6,AssistedTakeoff,10,Other,0,FALSE,Ground,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,RC_AssistantTakeoff,9,None,0,Already,0,FALSE,0,0.2,2.2,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.8,,,0.1,0,,0.1,0,0,0,0,0,,,0,27.8,0.1,0,-0.1,2.1,-0.8,-121.9,AssistedTakeoff,10,Other,0,FALSE,Sky,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,None,0,None,0,Already,0,FALSE,0,0.2,2.3,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:43.9,,,0.1,0,,0.1,0,0,0,0,0,,,0,27.8,0.1,0,-0.3,1.3,-1.6,-122,GPS_Atti,6,Other,0,FALSE,Sky,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,None,0,None,0,Already,0,FALSE,0,0.2,2.4,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:44.0,,,0.1,0,,0.1,0,0,0,0,0,,,0,27.8,0.1,0,-0.4,0.4,-0.8,-122.3,GPS_Atti,6,Other,0,FALSE,Sky,TRUE,TRUE,Standby,0,TRUE,TRUE,0,P,FALSE,FALSE,FALSE,0,Smart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,None,0,None,0,Already,0,FALSE,0,0.3,2.5,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,-121.7,YawFollow,2,-0.3,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
